1529
BUS;2_3408;-1541980;48040424;Chêne Centenaire;chenecentenaire;
BUS;2_1617;-1630168;48129136;Longs Champs Est;longschampsest;
BUS;2_3409;-1545250;48041416;Menault;menault;
BUS;2_1614;-1656488;48121971;Assomption;assomption;
BUS;2_1615;-1678283;48109802;République;republique;
BUS;2_3001;-1610349;48085070;Gériatrie;geriatrie;
BUS;2_1618;-1652976;48125209;Joliot-Curie;joliotcurie;
BUS;2_3002;-1614079;48085726;Deux Ruisseaux;deuxruisseaux;
BUS;2_1619;-1651796;48126373;Joliot-Curie;joliotcurie;
BUS;2_3401;-1553367;48041399;Parc des Sports;parcdessports;
BUS;2_3402;-1550158;48040658;Langlois;langlois;
BUS;2_3403;-1541949;48040218;Chêne Centenaire;chenecentenaire;
BUS;2_1612;-1688429;48103539;Saint-Conwoïon;saintconwoion;
BUS;2_3404;-1544634;48041277;Menault;menault;
BUS;2_1613;-1688808;48103012;Saint-Conwoïon;saintconwoion;
BUS;2_3405;-1561622;48044532;Eclosel;eclosel;
BUS;2_3210;-1670756;47995021;Coteau;coteau;
BUS;2_1610;-1636026;48114060;Tournebride;tournebride;
BUS;2_3406;-1561467;48044457;Eclosel;eclosel;
BUS;2_3211;-1668503;47997302;Groupe Scolaire;groupescolaire;
BUS;2_1611;-1688421;48105462;Inkermann;inkermann;
BUS;2_3202;-1651317;47975356;Frogerais;frogerais;
BUS;2_3201;-1646062;47969785;Fort Joual;fortjoual;
BUS;2_3204;-1660002;47983269;Télégraphe;telegraphe;
BUS;2_3203;-1657465;47976257;Petite Rochelle;petiterochelle;
BUS;2_3206;-1652398;47975430;Frogerais;frogerais;
BUS;2_3205;-1657144;47976117;Petite Rochelle;petiterochelle;
BUS;2_6006;-1891338;48212913;Mettrie Templiers;mettrietempliers;
BUS;2_3208;-1665495;47993950;Chateaubriand;chateaubriand;
BUS;2_3207;-1645769;47969653;Fort Joual;fortjoual;
BUS;2_2750;-1680446;48039250;Monts Gaultier;montsgaultier;
BUS;2_3209;-1668738;47992496;Surcouf;surcouf;
BUS;2_2751;-1680105;48039354;Monts Gaultier;montsgaultier;
